Oer-Erkenschwick, Stadt;45739;  38,66; 31 569; 15 639; 15 930
Achim, Stadt;28832;  68,06; 31 422; 15 276; 16 146
Rheinberg, Stadt;47495;  75,24; 31 356; 15 353; 16 003
Nienburg (Weser), Stadt;31582;  64,53; 31 354; 15 205; 16 149
Herrenberg, Stadt;71083;  65,70; 31 253; 15 275; 15 978
Bramsche, Stadt;49565;  183,39; 31 110; 15 799; 15 311
Kreuztal, Stadt;57223;  71,07; 31 082; 15 409; 15 673
Einbeck, Stadt;37574;  231,92; 31 076; 15 156; 15 920
Schönebeck (Elbe), Stadt;39218;  86,02; 31 063; 15 010; 16 053
Geestland, Stadt;27607;  356,83; 31 040; 15 136; 15 904
Neuruppin, Stadt;16816;  305,25; 31 037; 15 208; 15 829
Gevelsberg, Stadt;58285;  26,34; 30 966; 15 076; 15 890
Riesa, Stadt;01589;  58,91; 30 894; 14 992; 15 902
Emmerich am Rhein, Stadt;46446;  80,40; 30 852; 15 583; 15 269
Werl, Stadt;59457;  76,35; 30 843; 15 776; 15 067
Radolfzell am Bodensee, Stadt;78315;  58,55; 30 784; 14 897; 15 887
Geesthacht, Stadt;21502;  33,25; 30 453; 14 917; 15 536
Haan, Stadt;42781;  24,19; 30 414; 14 574; 15 840
Osterholz-Scharmbeck, Stadt;27711;  147,17; 30 398; 14 921; 15 477
Lohmar, Stadt;53797;  65,62; 30 395; 14 968; 15 427
Burgdorf, Stadt;31303;  112,56; 30 320; 14 872; 15 448
Schwedt/Oder, Stadt;16303;  205,56; 30 182; 14 509; 15 673
Weil am Rhein, Stadt;79576;  19,46; 30 164; 14 621; 15 543
Meschede, Kreis- und  Hochschulstadt;59872;  218,50; 30 081; 14 893; 15 188
Ennepetal, Stadt der Kluterthöhle;58256;  57,77; 29 901; 14 581; 15 320
Werne, Stadt;59368;  76,14; 29 858; 14 488; 15 370
Merzig, Kreisstadt;66663;  108,98; 29 812; 14 742; 15 070
Andernach, Stadt;56626;  53,34; 29 679; 14 389; 15 290
